Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Croatia,45.1667,15.5,Battle-related deaths (number of people),VC.BTL.DETH,HRV,..,..,142,345,..,826,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cuba,21.5,-80.0,Battle-related deaths (number of people),VC.BTL.DETH,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,35.0,33.0,Battle-related deaths (number of people),VC.BTL.DETH,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czech Republic,49.75,15.5,Battle-related deaths (number of people),VC.BTL.DETH,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Denmark,56.0,10.0,Battle-related deaths (number of people),VC.BTL.DETH,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,11.5,43.0,Battle-related deaths (number of people),VC.BTL.DETH,DJI,60,59,129,33,39,..,..,..,..,25,..,..,..,..,..,..,..,..,35,..,..,..,..,..,..,..,..,..
Dominica,15.4167,-61.3333,Battle-related deaths (number of people),VC.BTL.DETH,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,19.0,-70.6667,Battle-related deaths (number of people),VC.BTL.DETH,DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,-2.0,-77.5,Battle-related deaths (number of people),VC.BTL.DETH,ECU,..,..,..,..,..,11,..,..,..,..,..,..,..,..,..,..,..,..,25,..,..,..,..,..,..,..,..,..
El Salvador,13.8333,-88.9167,Battle-related deaths (number of people),VC.BTL.DETH,SLV,848,88,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,2.0,10.0,Battle-related deaths (number of people),VC.BTL.DETH,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,15.0,39.0,Battle-related deaths (number of people),VC.BTL.DETH,ERI,..,..,..,..,..,..,..,31,10,17203,25000,..,..,57,..,..,..,..,..,..,..,..,..,..,..,..,25,..
Estonia,59.0,26.0,Battle-related deaths (number of people),VC.BTL.DETH,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
